season,week,home_team,away_team,closing_spread_home
2025,16,SEA,LA,-1.5
2025,16,WAS,PHI,6.5
2025,16,CHI,GB,-1.5
2025,16,CLE,BUF,10.5
2025,16,CAR,TB,3.0
2025,16,MIA,CIN,4.5
2025,16,DAL,LAC,-2.5
2025,16,TEN,KC,3.0
2025,16,NYG,MIN,3.0
2025,16,NO,NYJ,-4.5
2025,16,ARI,ATL,3.0
2025,16,DEN,JAX,-3.0
2025,16,DET,PIT,-7.0
2025,16,HOU,LV,-14.5
2025,16,BAL,NE,-3.0
2025,16,IND,SF,6.0
2025,16,WAS,DAL,3.5
2025,16,MIN,DET,3.5
2025,16,KC,DEN,5.5
2025,16,LAC,HOU,1.5
2025,16,GB,BAL,-3.0
2025,16,CIN,ARI,-5.5
2025,16,CAR,SEA,7.5
2025,16,CLE,PIT,3.5
2025,16,IND,JAX,5.5
2025,16,NYJ,NE,9.5
2025,16,TEN,NO,1.5
2025,16,LV,NYG,3.0
2025,16,BUF,PHI,-3.0
2025,16,SF,CHI,-3.0
2025,16,ATL,LA,8.5
