season,week,away_team,home_team,model_spread_home_minus_away,vegas_spread_home,blended_spread_home,edge_bin,alpha
2025,15,ATL,TB,6.06,,,no_vegas,
2025,15,CLE,CHI,4.57,-7.5,-2.67,large,0.6000000000000001
2025,15,BAL,CIN,-4.23,3.0,0.11,large,0.6000000000000001
2025,15,ARI,HOU,3.41,-10.5,-4.93,large,0.6000000000000001
2025,15,NYJ,JAX,4.49,-13.5,-6.3,large,0.6000000000000001
2025,15,LAC,KC,5.06,-6.0,-2.13,huge,0.65
2025,15,BUF,NE,-3.89,1.5,-0.65,large,0.6000000000000001
2025,15,WAS,NYG,0.41,-2.5,0.41,small,0.0
2025,15,LV,PHI,9.24,-12.5,-4.89,huge,0.65
2025,15,GB,DEN,-2.95,1.5,-2.51,medium,0.1
2025,15,DET,LA,3.01,-6.0,-2.4,large,0.6000000000000001
2025,15,CAR,NO,5.53,2.5,3.56,huge,0.65
2025,15,IND,SEA,6.3,-13.5,-6.57,huge,0.65
2025,15,TEN,SF,10.46,-11.5,-3.81,huge,0.65
2025,15,MIN,DAL,1.08,-5.5,0.42,medium,0.1
2025,15,MIA,PIT,3.27,-3.0,-0.49,large,0.6000000000000001
